ID,Area,Feature / Screen,Role,Test Steps,Expected Result,Priority,Status,Bug Notes
35,Lab,Windows Log Analysis — complete,Student,"Answer all 3 tasks (Brute Force  WMI  185.220.101.47). Submit each.",All tasks marked complete. Room Complete shown.,P1,,
36,Lab,Malware Triage — strings filter,Student,"Navigate to /labs/malware-triage. Click the Persistence  Network  Injection category pills.",Strings list filters to matching category. Click a string to see its significance.,P1,,
37,Lab,Malware Triage — VT expand,Student,"In Task 2  click 'Show top engine detections'.",Detection list expands with per-engine results and confidence %.,P1,,
38,Lab,Malware Triage — complete,Student,"Answer all 3 tasks (Registry Run Key  AsyncRAT  AsyncMutex_6SI8OkPnk). Submit each.",All tasks complete. Room Complete shown.,P1,,
39,Lab,Memory Forensics — pslist click,Student,"Navigate to /labs/memory-forensics. Click each process row.",Row expands with verdict badge (Clean / Malicious) and detailed analysis.,P1,,
40,Lab,Memory Forensics — netscan expand,Student,"In Task 2  click the red svchost32.exe network row.",Row expands with full connection detail and threat intel.,P1,,
41,Lab,Memory Forensics — complete,Student,"Answer all 3 tasks (svchost32.exe  185.220.101.47:4444  Process Hollowing). Submit each.",All tasks complete. Room Complete shown.,P1,,
42,Lab,OSINT Investigation — email headers,Student,"Navigate to /labs/osint-investigation. Click email header rows.",Each header reveals analysis. Suspicious ones get red SUSPICIOUS badge.,P1,,
43,Lab,OSINT Investigation — answer locked,Student,"Try Task 1 answer form before examining all 3 suspicious headers.",Form not visible until all suspicious headers examined.,P1,,
44,Lab,OSINT Investigation — pivot table,Student,"In Task 2  click each domain row.",WHOIS panel expands with registrar  country  NS  and analysis text.,P1,,
45,Lab,OSINT Investigation — complete,Student,"Submit answers: 91.108.4.33  ns1.bulletproof-hosting.biz  4.",All tasks complete.,P1,,
46,Lab,Active Directory 101 — multi-select,Student,"Navigate to /labs/active-directory-101. Task 1: select svc_sqlserver and svc_backup. Submit.",Correct. Task 2 unlocks. Selecting wrong accounts gives error message.,P1,,
47,Lab,Active Directory 101 — complete,Student,"Complete all 3 tasks.",Room Complete shown.,P1,,
48,Lab,Privilege Escalation — complete,Student,"Navigate to /labs/privilege-escalation. Complete all 3 tasks (find  sudo vim then :!sh  SAGE{r00t_fl4g_c4ptured}).",Room Complete shown.,P1,,
49,Lab,SSRF Attack — complete,Student,"Navigate to /labs/ssrf-attack. Complete all 3 tasks (localhost URL  169.254.169.254  0x7f000001).",Room Complete shown.,P1,,
50,Lab,Web Recon — robots.txt click,Student,"Navigate to /labs/web-recon. Click Disallow entries in Task 1.",Each entry expands explaining why the path is interesting.,P1,,
51,Lab,Web Recon — ffuf rows,Student,"In Task 2  click each ffuf result row.",Row expands with simulated HTTP response and risk badge (CRITICAL / HIGH / MEDIUM).,P1,,
52,Lab,Web Recon — crt.sh rows,Student,"In Task 3  click each subdomain row.",Row expands with attack surface analysis. admin-staging.target.com marked 'interesting'.,P1,,
53,Lab,Web Recon — complete,Student,"Complete all 3 tasks.",Room Complete shown.,P1,,
54,Lab,XSS Fundamentals — complete,Student,"Navigate to /labs/xss-fundamentals. Complete all 3 tasks.",Room Complete shown.,P1,,
55,Lab,Hints system,Student,"Open any lab. Click 'Hint' button on any task.",Hint text reveals. Each lab has per-stage hints.,P2,,
56,Lab,Progress persists on refresh,Student,"Complete Task 1 in any lab. Refresh the page.",Task 1 still shows as complete. Task 2 still unlocked.,P1,,
57,Lab,Wrong answer feedback,Student,"In any lab  submit an incorrect answer.",Error message shown. Task NOT marked complete. No score awarded.,P1,,
,,,,,,,,
,=== POINT SYSTEM — LABS ===,,,,,,,
58,Scoring,Score awarded on stage completion,Student,"Complete a lab stage. Check /dashboard skill score before and after.",Skill score increases by the correct amount. XP increases by the same amount.,P1,,
59,Scoring,Score NOT double-awarded,Student,"Submit the same correct stage answer twice (e.g. refresh and resubmit).",Score only changes once. Second submission gives success UI but no extra points.,P1,,
60,Scoring,Difficulty weighting,Student,"Complete EASY lab vs HARD lab (same points value). Check score delta.",HARD lab stage gives more competition points than EASY lab stage (HARD = 2x  EASY = 1x).,P2,,
61,Scoring,Lab fully solved — Attempt status,Student,"Complete all tasks in any lab.",Attempt status changes to SOLVED. Appears in solved list.,P1,,
62,Scoring,CTF flag submission — correct,Student,"Submit a correct CTF flag in a lab with a flag (e.g. welcome-ctf final flag).",Response: {correct: true  points: N}. Skill score increases.,P1,,
63,Scoring,CTF flag submission — incorrect,Student,"Submit a wrong flag.",Response: {correct: false}. Score unchanged.,P1,,
64,Scoring,CTF flag — already solved,Student,"Submit the correct flag again for a lab already marked SOLVED.",Response: {correct: true  alreadySolved: true}. Score NOT increased again.,P1,,
65,Scoring,Rate limit — flags,Student,"Submit 15+ wrong flags rapidly for the same lab.",429 response with 'Too many attempts' message. Try again after ~10 minutes.,P2,,
,,,,,,,,
,=== SIMULATIONS ===,,,,,,,
66,Simulation,Create simulation — scenario picker,Student,"Navigate to /simulation/new.",5 scenarios shown with distinct briefings: Bank Ransomware  Healthcare APT  Insider Threat  Hacktivist Gov  Startup Cloud.,P1,,
67,Simulation,Start simulation,Student,"Select any scenario. Click Start.",Session created. War room page loads with Evidence panel  Right panel  Live feed  Action buttons.,P1,,
68,Simulation,Evidence gate — actions locked,Student,"On a new simulation  look at action buttons before reading any evidence.",Actions should be locked/disabled or show a prompt to read evidence first.,P1,,
69,Simulation,Read evidence to unlock actions,Student,"Click at least one artifact in the Evidence panel for the current stage.",Actions become available after evidence threshold is met.,P1,,
70,Simulation,Take an action — score change,Student,"Take any action that awards points.",Score header increases. Live feed shows the action with +N pts in green.,P1,,
71,Simulation,Score flash animation,Student,"Take any scored action.",+N pts label appears briefly above the score header and fades out.,P2,,
72,Simulation,Take a wrong action — score penalty,Student,"Take an action with a negative score.",Score decreases. Live feed shows -N pts in red.,P1,,
73,Simulation,Decisions tab,Student,"Take 2–3 actions. Open the right panel 'Decisions' tab.",Numbered action log shows each action with label  score delta (+/-N)  and running total.,P1,,
74,Simulation,Stage progression,Student,"Take the stage-blocker action (CONTAIN action).",Stage advances. New evidence and actions available. CONTAINED badge shown in Decisions tab.,P1,,
75,Simulation,MITRE threats panel,Student,"Open right panel 'Threats' tab.",MITRE ATT&CK techniques listed for the current scenario.,P2,,
76,Simulation,Alerts panel,Student,"Open right panel 'Alerts' tab.",Security alerts shown relevant to the current scenario.,P2,,
77,Simulation,Scenario: Bank Ransomware,Student,"Start scenario 1 (Bank / Phishing to Ransomware). Play through to completion.",Unique briefing about FIN7 campaign. Stages progress through phishing → lateral → ransomware.,P1,,
78,Simulation,Scenario: Healthcare APT,Student,"Start scenario 2 (Healthcare / Supply Chain Attack). Play through at least 2 stages.",Unique briefing about meddevice-agent SDK supply chain. Stages differ from Bank scenario.,P1,,
79,Simulation,Scenario: Insider Threat,Student,"Start scenario 3 (Tech / Insider Threat). Play through at least 2 stages.",Unique insider threat stages and actions.,P1,,
80,Simulation,Scenario: Hacktivist Gov,Student,"Start scenario 4 (Gov / Data Breach). Play through at least 2 stages.",Unique SQLi hacktivist briefing. GDPR clock framing.,P1,,
81,Simulation,Scenario: Cloud Startup,Student,"Start scenario 5 (Startup / Cloud Misconfiguration). Play through at least 2 stages.",Unique AWS credentials breach briefing. Cloud-specific stages.,P1,,
82,Simulation,Simulation ends — CONTAINED,Student,"Complete all containment actions across all stages.",Status changes to CONTAINED. End screen shown with score and 'View Debrief' button.,P1,,
83,Simulation,Simulation ends — BREACHED,Student,"Let the auto-advance timer run out without taking blocker actions (or take all wrong actions).",Status changes to BREACHED. End screen shown with 'View Debrief' button.,P1,,
84,Simulation,Debrief page — loads,Student,"After simulation ends  click 'View Debrief'.",Debrief page at /simulation/{id}/debrief loads with: Attack Timeline  Decisions list  Missed Opportunities  Analyst Profile  Leadership Assessment  MITRE Heatmap  Gap Analysis  Recommended Labs  Post-Incident Report.,P1,,
85,Simulation,Debrief — Recommended Labs,Student,"On the debrief page scroll down past Gap Analysis.",A section '  Recommended Next Labs' shows 3 lab cards with explanations matched to the session's weakness areas.,P1,,
86,Simulation,Debrief — AI Coaching,Student,"Check the Leadership Assessment section of debrief.",Focus areas (coaching tips) generated by AI are shown.,P2,,
87,Simulation,Debrief — Post-Incident Report,Student,"Check the Post-Incident Report section at bottom of debrief.",IR report generated. 'Copy Report' button copies markdown to clipboard.,P2,,
88,Simulation,Certificate,Student,"Click 'Download Certificate' on debrief page.",Certificate page at /simulation/{id}/certificate renders with name  scenario  score  date.,P2,,
89,Simulation,Verify certificate,Student,"Copy the cert URL and open /verify/simulation/{id} without being logged in.",Certificate details shown publicly. No auth required.,P2,,
90,Simulation,Simulation score saved,Student,"After a simulation  check /dashboard.",Simulation score shows in the 'Best Sim Score' and sim count increments.,P1,,
,,,,,,,,
,=== LEARNING PATHS ===,,,,,,,
91,Paths,Paths list page,Student,"Navigate to /paths.",All published learning paths shown (CTF Starter  Web Security Essentials  SOC Fundamentals  and any others).,P1,,
92,Paths,Enrol in a path,Student,"Click 'Enrol' on any learning path.",Enrolled. Path shows in progress on /paths. Labs list shows which are done.,P1,,
93,Paths,Path progress updates,Student,"Enrol in 'CTF Starter'. Complete 'Welcome CTF' lab (all tasks).",Path progress increases. Welcome CTF checked off in the path lab list.,P1,,
94,Paths,Path completion,Student,"Complete all labs required for a path.",Path shows as 100% complete. Certificate link may appear.,P2,,
95,Paths,Path certificate,Student,"If a path has a certificate  navigate to /paths/{slug}/certificate.",Certificate renders with student name and path name.,P2,,
,,,,,,,,
,=== COMPETITIONS ===,,,,,,,
96,Competitions,Competitions list page,Student,"Navigate to /competitions.",Active competitions listed: 'Sage Cup 2026 — Season 1' and 'Blue Team Gauntlet — July 2026'.,P1,,
97,Competitions,Join competition,Student,"Click 'Join' on an active competition.",Entry created. Student is enrolled. Leaderboard shows student at 0 pts.,P1,,
98,Competitions,Competition score — lab stage,Student,"Join 'Sage Cup 2026 — S1'. Complete a stage of 'sql-injection-101' (which is in the competition lab list).",Competition score increases by difficulty-weighted stage points. Check on competition leaderboard.,P1,,
99,Competitions,Competition score — flag submit,Student,"Join competition. Submit a correct CTF flag for a lab in the competition.",Competition score increases by difficulty-weighted flag points.,P1,,
100,Competitions,No double-score on resubmit,Student,"Complete a lab stage. Navigate away and 'complete' it again.",Competition score does NOT increase on re-submission.,P1,,
101,Competitions,Leaderboard shows ranking,Student,"Join competition. Have 2 test accounts join and score points.",Leaderboard on /competitions/{slug} ranks students by score. Top score ranked #1.,P1,,
102,Competitions,Only active competitions award points,Student,"Complete a lab that is listed in a competition whose dates are in the future or past.",Competition score NOT updated (competition is not active right now).,P2,,
,,,,,,,,
,=== LEADERBOARD ===,,,,,,,
103,Leaderboard,Global leaderboard,Student,"Navigate to /leaderboard.",All students ranked by skill score. Current user's rank highlighted.,P1,,
104,Leaderboard,Score order,Student,"Create 2 accounts. Give one more points. Check leaderboard.",Higher score = higher rank.,P1,,
,,,,,,,,
,=== STUDENT PROFILE ===,,,,,,,
105,Profile,Own profile,Student,"Navigate to /profile/{your-user-id}.",Profile shows: name  university  skill score  labs solved  simulations run  completed paths  badges/XP.,P1,,
106,Profile,Edit profile,Student,"Update display name or LinkedIn/GitHub URL. Save.",Profile updates. New values shown on profile page.,P2,,
107,Profile,Other student profile,Student,"Navigate to /profile/{another-student-id}.",Correct student's stats shown. No edit controls visible.,P2,,
108,Profile,AI evaluation,Student,"On a student profile page that has completed labs and simulations  check for AI evaluation section.","AI evaluation section shows a recommendation (Strong hire  Potential hire  etc.).",P2,,
,,,,,,,,
,=== RECRUITER FEATURES ===,,,,,,,
109,Recruiter,Recruiter dashboard — access,Recruiter,"Log in as Recruiter. Navigate to /recruiter.",Recruiter Marketplace page loads with candidate table.,P1,,
110,Recruiter,Candidate list,Recruiter,"View the Find Candidates tab.",All STUDENT accounts listed with name  email  university  skill score  lab count  sim grade  AI verdict.,P1,,
111,Recruiter,Search by name,Recruiter,"Type a student name in the search box.",List filters to matching names in real time.,P1,,
112,Recruiter,Filter by min score,Recruiter,"Enter 100 in 'Min score' filter.",Only students with skill score ≥ 100 shown.,P1,,
113,Recruiter,Filter by sim grade,Recruiter,"Select 'B (75+)' in the sim grade dropdown.",Only students with sim grade B or A (≥75 score) shown.,P1,,
114,Recruiter,Filter by path,Recruiter,"Select a learning path in the path dropdown.",Only students who completed that path shown.,P1,,
115,Recruiter,Bookmark candidate,Recruiter,"Click the ★ star icon on a candidate row.",Star fills. Candidate row highlights green. Saved count in header increments.,P1,,
116,Recruiter,Unbookmark candidate,Recruiter,"Click the ★ star again on a bookmarked candidate.",Star returns to ☆. Highlight removed.,P1,,
117,Recruiter,View candidate profile,Recruiter,"Click 'View profile →' on any candidate.",Navigates to /profile/{id} showing that student's public profile.,P1,,
118,Recruiter,Simulation Assessments tab,Recruiter,"Click the 'Simulation Assessments' tab.",Candidates with simulation scores shown with EXCEPTIONAL / STRONG / ADEQUATE / DEVELOPING ratings. Summary counts at top.,P1,,
119,Recruiter,Create job posting,Recruiter,"Click 'My Job Postings' tab → '+ New Posting'. Fill title  company  description. Add min score requirement. Submit.",New posting appears in the list. Match count shown.,P1,,
120,Recruiter,Job posting requirements — match count,Recruiter,"Create a posting with Min Score = 500. Check match count vs actual candidates.",Match count equals number of candidates with skill score ≥ 500.,P1,,
121,Recruiter,View Matches drill-down,Recruiter,"On a posting card  click the match count number.",Inline panel expands showing qualifying candidates with name  score  sim grade  AI verdict  Profile link.,P1,,
122,Recruiter,Deactivate posting,Recruiter,"Click 'Deactivate' on an active posting.",Posting goes grey / Inactive status. Count still shown.,P2,,
123,Recruiter,Reactivate posting,Recruiter,"Click 'Activate' on an inactive posting.",Posting becomes active again.,P2,,
124,Recruiter,Recruiter can't access labs,Recruiter,"While logged in as Recruiter  try to navigate to /labs.",Redirected to /recruiter.,P1,,
,,,,,,,,
,=== INSTRUCTOR / TEACHER FEATURES ===,,,,,,,
125,Instructor,Classroom page — access,Instructor,"Log in as Instructor. Navigate to /classroom.",Classroom list page loads showing any existing classrooms.,P1,,
126,Instructor,Create classroom,Instructor,"Click 'Create Classroom'. Enter class name. Submit.",Classroom created. Appears in list with a join code.,P1,,
127,Instructor,Student joins classroom,Student,"Log in as Student. Go to /classroom. Enter the instructor's join code.",Student enrolled in classroom. Instructor can see student in roster.,P1,,
128,Instructor,Assign lab to classroom,Instructor,"Open classroom. Click 'Assign Labs'. Select 'SQL Injection 101'. Confirm.",Lab assigned to classroom. Students in classroom can see the assignment.,P1,,
129,Instructor,View student progress,Instructor,"View the classroom student list after a student completes an assigned lab.",Student's completion status updates in the instructor's view.,P1,,
130,Instructor,Assign simulation to classroom,Instructor,"In classroom  assign a simulation scenario.",Scenario shown in classroom assignments.,P2,,
131,Instructor,Classroom report,Instructor,"Navigate to /classroom/{id}/report.",Report page shows aggregate class stats: students enrolled  labs assigned  completion rates.,P2,,
132,Instructor,Instructor analytics,Instructor,"Navigate to /analytics/instructor.",Analytics page loads showing class-level metrics.,P2,,
133,Instructor,Instructor can't access recruiter,Instructor,"While logged in as Instructor  navigate to /recruiter.",Redirected to /classroom.,P1,,
,,,,,,,,
,=== TEAM SIMULATIONS ===,,,,,,,
134,Team Sim,Create team,Student,"Navigate to /simulation/team. Click 'Create Team'. Enter team name.",Team created with a join code. Team lobby loads.,P2,,
135,Team Sim,Join team,Student,"Second student account: go to /simulation/team. Enter join code.",Second student joins team. Both visible in team lobby.,P2,,
136,Team Sim,Launch team simulation,Student (team leader),"In team lobby  click 'Launch Simulation'.",All team members redirected to the same simulation session. Actions by one player visible in all feeds.,P2,,
,,,,,,,,
,=== ADMIN FEATURES ===,,,,,,,
137,Admin,Admin page — access,Admin,"Log in as an account with ADMIN role. Navigate to /admin.",Admin dashboard loads.,P1,,
138,Admin,View all users,Admin,"Check user list in admin panel.",All users listed with roles and scores.,P2,,
139,Admin,Change user role,Admin,"Find a test user. Change role from STUDENT to RECRUITER. Save.",User role changes. User is redirected correctly on next login.,P2,,
140,Admin,Create competition,Admin,"In admin panel  create a new competition with a start/end date and lab slugs.",Competition appears on /competitions page.,P2,,
141,Admin,Edit competition,Admin,"Edit the competition's name or lab list.",Changes reflected on /competitions page.,P2,,
142,Admin,Edit lab,Admin,"In admin panel  edit a lab's points value.",Lab now awards updated points on completion.,P2,,
,,,,,,,,
,=== BILLING ===,,,,,,,
143,Billing,Billing page loads,Student,"Navigate to /billing.",Billing page renders with current plan and upgrade options.,P2,,
144,Billing,Stripe checkout,Student,"Click an upgrade plan. Proceed through Stripe checkout (use test card 4242 4242 4242 4242).",Redirected to Stripe. After payment  redirected back. Plan shows as upgraded.,P2,,
145,Billing,Stripe portal,Student,"Click 'Manage Subscription' on billing page.",Redirected to Stripe customer portal to manage/cancel subscription.,P2,,
,,,,,,,,
,=== API SPOT-CHECKS ===,,,,,,,
146,API,API returns 401 when logged out,Any,"While logged out  make a POST to /api/labs/submit with a valid body (use browser DevTools or curl).",Response: 401 Unauthorized. No crash.,P1,,
147,API,API returns proper JSON errors,Any,"POST to /api/labs/submit with a malformed body (e.g. empty object).",Response: 400 Bad Request with error field. Not a 500.,P1,,
148,API,Simulation action API,Any,"While in an active simulation  take an action. Check the network tab.",POST /api/simulation/{id}/action returns 200 with scoreChange value.,P1,,
149,API,Lab response API dedup,Any,"POST the same stage+labId twice to /api/labs/response (same user).",Both return success but competition points only awarded once. Check competition leaderboard score hasn't doubled.,P1,,
,,,,,,,,
,=== PUBLIC PAGES ===,,,,,,,
150,Public,Homepage,Any,"Navigate to / (root).",Landing page loads. No auth error.,P1,,
151,Public,About page,Any,"Navigate to /about.",Page loads correctly.,P2,,
152,Public,Pricing page,Any,"Navigate to /pricing.",Pricing tiers shown.,P2,,
153,Public,Contact page,Any,"Navigate to /contact.",Contact form visible.,P2,,
154,Public,Legal pages,Any,"Navigate to /legal/terms  /legal/privacy  /legal/cookies.",All 3 pages load.,P2,,
155,Public,Certificate verification — lab,Any,"Get a lab certificate URL. Open /verify/{certId} while logged out.",Certificate details visible without login.,P2,,
156,Public,Certificate verification — simulation,Any,"Get a simulation cert URL. Open /verify/simulation/{sessionId} while logged out.",Certificate details visible without login.,P2,,
,,,,,,,,
,=== CROSS-CUTTING ===,,,,,,,
157,UX,Mobile responsiveness,Any,"Open any page on a mobile-width viewport (375px).",Pages reflow correctly. No horizontal scroll. Buttons are tappable.,P2,,
158,UX,Dark mode / theme,Any,"Check all pages.",Consistent dark theme throughout. No white flash on load.,P2,,
159,UX,Navigation — back links,Any,"Use the Navbar back arrow on lab / simulation pages.",Returns to correct previous page (/labs or /simulation).,P2,,
160,UX,Loading states,Any,"On slow connection  observe API calls in progress.",Buttons show loading/disabled state while API is in flight. No double-submit.,P2,,
161,UX,Error states,Any,"Disconnect from internet mid-lab. Try to submit a task.",Error message shown. Page does not crash. Score not lost.,P2,,
162,UX,Score system end-to-end,Any,"New student: sign up → complete 1 lab stage → check dashboard → join competition → check competition leaderboard.",Skill score on dashboard updated. Competition leaderboard shows points.,P1,,
